"County Name","Census Tract","Life Expectancy","Lower CI","Upper CI"
"n/a","State Total","78.82","78.77","78.87"
"Adams","53001950100","79.51","76.95","82.07"
"Adams","53001950200","82.2","78.66","85.74"
"Adams","53001950300","77.59","75.62","79.56"
"Adams","53001950400","77.87","75.04","80.7"
"Adams","53001950500","77.81","75.39","80.22"
"Asotin","53003960100","82.2","80.13","84.27"
"Asotin","53003960200","82.67","80.8","84.54"
"Asotin","53003960300","76.68","74.44","78.93"
"Asotin","53003960400","78.03","75.18","80.87"
"Asotin","53003960500","75.64","73.36","77.92"
"Asotin","53003960600","80.81","78.71","82.91"
"Benton","53005010100","83.15","81.58","84.71"
"Benton","53005010201","82.92","80.87","84.97"
"Benton","53005010202","79.95","78.25","81.64"
"Benton","53005010300","83.1","81.37","84.83"
"Benton","53005010400","79.83","77.42","82.25"
"Benton","53005010500","76.89","74.44","79.34"
"Benton","53005010600","76.07","74.1","78.03"
"Benton","53005010701","74.08","70.75","77.4"
"Benton","53005010703","75.69","73.24","78.15"
"Benton","53005010705","80.39","78.21","82.58"
"Benton","53005010707","--","--","--"
"Benton","53005010708","79.09","75.18","83"
"Benton","53005010803","80.31","78.61","82.01"
"Benton","53005010805","81.37","79.02","83.73"
"Benton","53005010807","--","--","--"
"Benton","53005010809","81.5","79.54","83.46"
"Benton","53005010810","86.56","84.45","88.67"
"Benton","53005010811","--","--","--"
"Benton","53005010813","84.07","82.43","85.71"
"Benton","53005010814","--","--","--"
"Benton","53005010901","77.35","75.61","79.09"
"Benton","53005010902","78.01","76","80.03"
"Benton","53005011001","80.4","78.6","82.2"
"Benton","53005011002","80.51","78.06","82.97"
"Benton","53005011100","76.65","75.1","78.21"
"Benton","53005011200","74.06","72.47","75.66"
"Benton","53005011300","78.1","75.94","80.25"
"Benton","53005011401","75.55","73.48","77.62"
"Benton","53005011402","80.63","78.72","82.53"
"Benton","53005011501","76.51","74.83","78.19"
"Benton","53005011503","81.15","79.61","82.69"
"Benton","53005011504","--","--","--"
"Benton","53005011600","--","--","--"
"Benton","53005011700","78.18","76.64","79.72"
"Benton","53005011800","79.69","77.65","81.73"
"Benton","53005011900","79.28","77.29","81.27"
"Benton","53005012000","--","--","--"
"Chelan","53007960100","81.14","78.72","83.57"
"Chelan","53007960200","81.18","79.62","82.75"
"Chelan","53007960300","82.03","80.56","83.5"
"Chelan","53007960400","79.99","77.71","82.27"
"Chelan","53007960500","81.33","79.86","82.81"
"Chelan","53007960600","78.72","76.61","80.83"
"Chelan","53007960700","81.21","78.39","84.02"
"Chelan","53007960801","82.38","80.79","83.97"
"Chelan","53007960802","80.17","78.65","81.7"
"Chelan","53007961000","78.37","76.64","80.11"
"Chelan","53007961100","76.55","75.03","78.07"
"Chelan","53007961200","78.29","75.48","81.1"
"Chelan","53007961301","81.59","78.8","84.38"
"Chelan","53007961302","81.55","80.18","82.92"
"Clallam","53009000200","--","--","--"
"Clallam","53009000300","77.59","75.57","79.62"
"Clallam","53009000400","80.94","77.92","83.97"
"Clallam","53009000600","76.35","73.89","78.81"
"Clallam","53009000700","80.25","78.23","82.27"
"Clallam","53009000800","78.22","76.06","80.39"
"Clallam","53009000900","76.46","73.97","78.96"
"Clallam","53009001000","75.02","72.29","77.76"
"Clallam","53009001100","80.51","77.86","83.15"
"Clallam","53009001200","76.75","74.51","78.99"
"Clallam","53009001300","76.28","73.89","78.67"
"Clallam","53009001400","80.24","78.34","82.14"
"Clallam","53009001500","77.97","75.38","80.57"
"Clallam","53009001600","77.58","74.26","80.9"
"Clallam","53009001700","80.27","78.08","82.46"
"Clallam","53009001800","79.13","76.57","81.69"
"Clallam","53009001900","81.3","79.13","83.46"
"Clallam","53009002000","84.82","83.57","86.08"
"Clallam","53009002100","74.76","72.41","77.1"
"Clallam","53009002300","79.21","76.58","81.84"
"Clallam","53009940000","--","--","--"
"Clallam","53009990100","--","--","--"
"Clark","53011040101","77.43","75.63","79.24"
"Clark","53011040102","81.03","78.36","83.69"
"Clark","53011040201","78.19","76.47","79.92"
"Clark","53011040202","78.71","76.29","81.13"
"Clark","53011040203","78.79","76.9","80.68"
"Clark","53011040301","77.9","74.04","81.77"
"Clark","53011040302","80.76","78.64","82.87"
"Clark","53011040403","80.1","77.98","82.22"
"Clark","53011040407","76.8","74.41","79.18"
"Clark","53011040408","79.33","76.9","81.77"
"Clark","53011040409","81.76","78.55","84.98"
"Clark","53011040411","--","--","--"
"Clark","53011040412","79.87","77.62","82.11"
"Clark","53011040413","79.8","76.41","83.19"
"Clark","53011040414","--","--","--"
"Clark","53011040415","74.86","72.69","77.03"
"Clark","53011040416","79.01","76.6","81.41"
"Clark","53011040504","77.8","75.71","79.89"
"Clark","53011040505","78.1","76.36","79.84"
"Clark","53011040507","78.36","75.6","81.11"
"Clark","53011040508","80.64","78.67","82.61"
"Clark","53011040509","77.48","74.82","80.13"
"Clark","53011040510","83.04","81.06","85.01"
"Clark","53011040511","77.7","74.3","81.09"
"Clark","53011040603","77.89","75.81","79.96"
"Clark","53011040604","77.37","75.3","79.45"
"Clark","53011040605","77.64","75.29","79.98"
"Clark","53011040608","--","--","--"
"Clark","53011040609","--","--","--"
"Clark","53011040610","--","--","--"
"Clark","53011040703","76.39","74.63","78.16"
"Clark","53011040706","76.92","74.32","79.53"
"Clark","53011040707","77.39","75.38","79.39"
"Clark","53011040709","82.48","80.24","84.72"
"Clark","53011040710","79.96","77.89","82.03"
"Clark","53011040711","--","--","--"
"Clark","53011040712","78.21","75.84","80.57"
"Clark","53011040803","83.69","81.63","85.75"
"Clark","53011040805","77.37","75.56","79.18"
"Clark","53011040806","80.3","77.69","82.9"
"Clark","53011040808","77.56","74.79","80.33"
"Clark","53011040809","77.78","75.56","80"
"Clark","53011040810","78.35","75.21","81.49"
"Clark","53011040904","77.97","76.07","79.87"
"Clark","53011040905","79.6","76.15","83.05"
"Clark","53011040907","78.16","76.07","80.24"
"Clark","53011040908","79.82","77.85","81.78"
"Clark","53011040909","79.57","77.88","81.26"
"Clark","53011040910","78.6","75.74","81.46"
"Clark","53011041003","77.38","75.32","79.44"
"Clark","53011041005","73.65","70.7","76.6"
"Clark","53011041007","77.38","75.5","79.25"
"Clark","53011041008","81.67","79.76","83.59"
"Clark","53011041009","76.49","74.41","78.57"
"Clark","53011041010","76.48","73.89","79.07"
"Clark","53011041011","79.14","77","81.28"
"Clark","53011041104","76.28","73.57","78.99"
"Clark","53011041105","78.57","76.72","80.41"
"Clark","53011041107","79.97","77.22","82.71"
"Clark","53011041108","80.78","78.9","82.66"
"Clark","53011041110","79.27","77.5","81.04"
"Clark","53011041111","--","--","--"
"Clark","53011041112","87.69","84.53","90.84"
"Clark","53011041201","78.02","76.42","79.63"
"Clark","53011041203","82.44","80.17","84.7"
"Clark","53011041205","73.68","71.77","75.6"
"Clark","53011041206","77.31","75.49","79.14"
"Clark","53011041309","77.97","76.36","79.59"
