geoid20,Total Acreage,2011 Canopy Acreage,Canopy_2011,County Name
53033000101,103,69,67%,King
53033000102,365,305,83%,King
53033000201,446,403,90%,King
53033000202,366,343,94%,King
53033000300,299,268,89%,King
53033000402,444,380,86%,King
53033000403,181,142,78%,King
53033000404,156,76,49%,King
53033000500,700,689,98%,King
53033000601,354,314,89%,King
53033000602,596,407,68%,King
53033000700,320,260,81%,King
53033000800,282,277,98%,King
53033000900,249,225,91%,King
53033001000,236,201,85%,King
53033001100,262,253,97%,King
53033001201,249,109,44%,King
53033001202,203,174,86%,King
53033001300,292,215,74%,King
53033001400,532,498,94%,King
53033001500,283,278,98%,King
53033001600,473,414,88%,King
53033001701,221,173,78%,King
53033001702,316,288,91%,King
53033001800,234,180,77%,King
53033001900,412,339,82%,King
53033002000,280,245,88%,King
53033002100,337,327,97%,King
53033002200,694,680,98%,King
53033002400,238,224,94%,King
53033002500,243,224,92%,King
53033002600,308,262,85%,King
53033002700,392,345,88%,King
53033002800,244,221,91%,King
53033002900,244,231,95%,King
53033003000,369,347,94%,King
53033003100,533,502,94%,King
53033003201,286,187,66%,King
53033003202,236,224,95%,King
53033003301,165,147,89%,King
53033003302,155,130,84%,King
53033003400,195,182,94%,King
53033003500,317,299,94%,King
53033003601,167,147,88%,King
53033003602,129,81,63%,King
53033003800,154,143,93%,King
53033003900,241,224,93%,King
53033004000,619,359,58%,King
53033004101,394,369,94%,King
53033004102,418,391,94%,King
53033004201,307,294,96%,King
53033004202,302,270,89%,King
53033004301,242,193,80%,King
53033004302,82,66,80%,King
53033004401,172,160,93%,King
53033004402,73,48,66%,King
53033004500,166,146,88%,King
53033004600,639,352,55%,King
53033004701,149,24,16%,King
53033004702,66,27,41%,King
53033004703,299,97,33%,King
53033004800,318,266,84%,King
53033004901,123,101,83%,King
53033004902,147,98,66%,King
53033005000,187,149,80%,King
53033005100,218,203,93%,King
53033005201,174,133,76%,King
53033005202,67,32,49%,King
53033005303,571,359,63%,King
53033005304,18,10,54%,King
53033005305,53,7,14%,King
53033005306,50,5,9%,King
53033005307,32,28,86%,King
53033005401,189,97,52%,King
53033005402,115,92,80%,King
53033005600,754,700,93%,King
53033005700,"1,260","1,038",82%,King
53033005801,454,263,58%,King
53033005803,206,195,95%,King
53033005804,582,207,35%,King
53033005901,191,143,75%,King
53033005902,253,239,95%,King
53033006000,333,285,86%,King
53033006100,277,205,74%,King
53033006200,595,543,91%,King
53033006300,653,623,95%,King
53033006400,223,220,98%,King
53033006500,284,251,88%,King
53033006600,265,134,50%,King
53033006701,86,35,41%,King
53033006702,75,31,42%,King
53033006703,148,139,95%,King
53033006800,177,153,86%,King
53033006900,224,220,98%,King
53033007001,89,59,67%,King
53033007002,109,78,72%,King
53033007101,122,38,31%,King
53033007102,83,16,20%,King
53033007201,37,8,23%,King
53033007202,69,4,5%,King
53033007203,143,25,17%,King
53033007301,62,6,9%,King
53033007302,77,4,5%,King
53033007303,77,5,6%,King
53033007403,29,14,47%,King
53033007404,38,10,27%,King
53033007405,33,4,14%,King
53033007406,37,5,14%,King
53033007501,74,51,70%,King
53033007502,78,48,61%,King
53033007503,46,6,13%,King
53033007600,141,120,85%,King
53033007700,262,252,96%,King
53033007800,532,497,93%,King
53033007901,66,49,74%,King
53033007902,107,92,86%,King
53033008002,58,4,7%,King
53033008003,49,5,10%,King
53033008004,75,13,17%,King
53033008101,69,2,3%,King
53033008102,138,7,5%,King
53033008200,93,23,25%,King
53033008300,59,10,17%,King
53033008401,62,24,40%,King
53033008402,36,5,13%,King
53033008500,111,46,42%,King
53033008600,176,114,65%,King
53033008700,181,163,90%,King
53033008800,234,215,92%,King
53033008900,318,291,92%,King
53033009000,211,137,65%,King
53033009100,101,27,26%,King
53033009200,82,15,19%,King
53033009300,"2,301",353,15%,King
53033009400,417,325,78%,King
53033009500,640,555,87%,King
53033009600,464,401,86%,King
53033009701,448,376,84%,King
53033009702,549,527,96%,King
53033009801,248,226,91%,King
53033009802,228,200,88%,King
53033009900,"1,631",729,45%,King
53033010001,575,446,77%,King
53033010002,234,211,90%,King
53033010101,215,165,76%,King
53033010102,403,340,84%,King
53033010200,719,670,93%,King
53033010301,248,206,83%,King
53033010302,156,117,75%,King
53033010401,403,363,90%,King
53033010402,431,363,84%,King
53033010501,183,138,75%,King
53033010502,241,204,85%,King
53033010601,269,247,92%,King
53033010602,358,332,93%,King
53033010701,361,321,89%,King
53033010702,193,137,71%,King
53033010800,"1,033",777,75%,King
53033010900,"1,335",141,11%,King
53033011001,267,197,74%,King
53033011002,425,332,78%,King
53033011101,281,237,85%,King
53033011102,326,295,91%,King
53033011200,621,308,50%,King
53033011300,855,742,87%,King
53033011401,305,267,88%,King
53033011402,293,218,74%,King
53033011500,380,355,93%,King
53033011601,383,378,99%,King
53033011602,389,369,95%,King
53033011700,869,632,73%,King
53033011801,296,247,83%,King
53033011802,295,260,88%,King
53033011901,416,389,93%,King
53033011902,385,372,97%,King
53033012000,355,347,98%,King
53033012100,424,399,94%,King
53033020100,432,401,93%,King
53033020200,640,597,93%,King
53033020301,321,253,79%,King
53033020302,322,276,86%,King
