aggregation,quintile,access_to,wt_avg_miles
POC,Low,all_hct,4.119512899043432
POC,Low Medium,all_hct,1.9584109232512226
POC,Medium,all_hct,1.2157363148565135
POC,Medium High,all_hct,0.8344918899461654
POC,High,all_hct,0.6423937199684887
POC,Low,light_rail,8.018506070025435
POC,Low Medium,light_rail,5.2634616337961
POC,Medium,light_rail,3.87586405181171
POC,Medium High,light_rail,3.087935349155424
POC,High,light_rail,2.489437021042661
POC,Low,commuter_rail,9.073035549087272
POC,Low Medium,commuter_rail,7.112274189193765
POC,Medium,commuter_rail,5.945745027311063
POC,Medium High,commuter_rail,5.476968870670123
POC,High,commuter_rail,4.607322433232267
POC,Low,ferry,11.817292813220355
POC,Low Medium,ferry,8.501503757779751
POC,Medium,ferry,7.31909700471537
POC,Medium High,ferry,7.0836864021756405
POC,High,ferry,7.334802276401012
POC,Low,passenger_ferry,17.343954109346292
POC,Low Medium,passenger_ferry,14.02167165084992
POC,Medium,passenger_ferry,12.769793526040132
POC,Medium High,passenger_ferry,12.289681540761517
POC,High,passenger_ferry,11.751285646365814
POC,Low,brt,4.419076511951893
POC,Low Medium,brt,2.135301091246768
POC,Medium,brt,1.3532242988054939
POC,Medium High,brt,0.9732680132970882
POC,High,brt,0.7132638581974885
Income,Low,all_hct,2.2269447600752548
Income,Low Medium,all_hct,1.9300077465766177
Income,Medium,all_hct,1.7524052577588587
Income,Medium High,all_hct,1.7156820578830054
Income,High,all_hct,1.0280105325950415
Income,Low,light_rail,4.5555482279383455
Income,Low Medium,light_rail,4.784777195668011
Income,Medium,light_rail,4.501851197835628
Income,Medium High,light_rail,4.737669296249324
Income,High,light_rail,3.9118105171415185
Income,Low,commuter_rail,7.829276559304101
Income,Low Medium,commuter_rail,7.184563813495679
Income,Medium,commuter_rail,6.39153311651107
Income,Medium High,commuter_rail,6.064320482429472
Income,High,commuter_rail,4.691565626665332
Income,Low,ferry,8.313486791124273
Income,Low Medium,ferry,7.919288402285
Income,Medium,ferry,8.363221731863844
Income,Medium High,ferry,8.763860996937781
Income,High,ferry,8.456438469677472
Income,Low,passenger_ferry,13.272187073874282
Income,Low Medium,passenger_ferry,13.106571733439425
Income,Medium,passenger_ferry,13.292540786578753
Income,Medium High,passenger_ferry,14.030351120959097
Income,High,passenger_ferry,14.18958898873415
Income,Low,brt,2.5576845202454868
Income,Low Medium,brt,2.122984354476203
Income,Medium,brt,1.9202846932601896
Income,Medium High,brt,1.8264970555802036
